,Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
209,210,177.0,54,135,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",Xinjiang SC Center,Sugon,China,2019,Government,44720,"41,600",2115.0,3903.43,"507,000",,,265.0,Submitted,7.98,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,790",179729
211,212,179.0,53,133,MagicCube3,"Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100",Shanghai Supercomputer Center,Sugon,China,2019,Research,40960,"5,120",2109.0,3434.09,"5,153,000",,,430.0,Submitted,4.9,,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600.0,CentOS,Linux,NVIDIA Tesla V100,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Omnipath,Intel Omni-Path,Asia,"49,697",179695
213,214,181.0,51,83,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Astronomical Observatory of Japan,Cray/HPE,Japan,2018,Academic,40000,,2089.98,3072.0,"4,915,200",,36.64,495.86,Submitted,4.21,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,097",179419
214,215,271.0,55,271,Greene,"ThinkSystem SR650, Xeon Platinum 8268 24C 2.9GHz, NVIDIA Quadro RTX8000/V100, Infiniband HDR",New York University,Lenovo,United States,2020,Academic,166304,"63,104",2088.83,2846.4,"3,846,912",,,511.54,Submitted,4.08,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900.0,Linux,Linux,NVIDIA Tesla V100,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"49,783",179851
215,216,182.0,54,140,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service U,Sugon,China,2019,Others,44032,"40,960",2087.0,3843.38,"503,000",,,260.0,Submitted,8.03,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,777",179730
222,223,189.0,44,22,Tianhe-2 LvLiang Solution,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P",LvLiang Cloud Computing Center,NUDT,China,2014,Industry,174720,"153,216",2071.39,3074.53,"2,366,976",,37.62,997.0,Submitted,2.08,,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200.0,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),Tianhe-2 LvLiang,Tianhe-2 LvLiang,Custom Interconnect,TH Express-2,Asia,"50,546",178464
228,229,195.0,54,152,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2019,Industry,55440,,2026.0,4080.38,"3,564,000",,,590.0,Submitted,3.43,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,591",179785
233,234,199.0,53,121,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,110880,,2007.0,8160.77,"6,172,000",,,1470.0,Submitted,1.37,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179677
234,235,200.0,54,155,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,42312,"39,360",2003.0,3693.54,"493,000",,,250.0,Submitted,8.01,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,598",179731
238,239,204.0,54,159,A64FX prototype,"Fujitsu A64FX, Fujitsu A64FX 48C 2GHz, Tofu interconnect D",Fujitsu Numazu Plant,Fujitsu,Japan,2019,Vendor,36864,,1999.5,2359.3,"1,576,960",,,118.48,Submitted,16.88,,Cluster,Fujitsu A64FX 48C 2GHz,Fujitsu ARM,2000.0,Linux,Linux,None,48,Fujitsu A64FX,Fujitsu A64FX,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,"50,811",179706
239,240,205.0,52,96,TTSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Service (B),Sugon,China,2018,Industry,116600,,1997.0,4104.32,"8,069,000",,,1200.0,Submitted,1.66,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,330",179544
240,241,206.0,54,161,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Chengdu SC Center,Sugon,China,2019,Industry,520000,,1985.0,39936.0,"3,274,000",,,510.0,Submitted,3.89,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,815",179732
242,243,208.0,52,97,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",EDF,Atos,France,2018,Industry,41472,,1980.53,3052.34,"4,451,328",,,512.0,Submitted,3.87,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300.0,Calibre OS,Linux,None,18,Xeon Gold,Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,"50,679",179569
243,244,209.0,53,128,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",IT Service Provider,Sugon,China,2018,Industry,121920,,1979.0,4096.51,"6,769,000",,,1216.0,Submitted,1.63,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100.0,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,710",179679
244,245,210.0,52,98,HKVDPSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,121920,,1979.0,4096.51,"6,769,000",,,1216.0,Submitted,1.63,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100.0,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,707",179532
245,246,211.0,53,130,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,60800,,1976.0,4085.76,"4,848,000",,,660.0,Submitted,2.99,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179671
250,251,216.0,48,266,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,49432,,1967.81,2800.87,"3,179,520","888,000",,657.0,Submitted,3.0,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Europe,"49,102",178930
252,253,218.0,54,173,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 25G Ethernet, NVIDIA Tesla V100",Energy Company,Sugon,China,2019,Industry,41280,"38,400",1963.0,3603.46,"487,000",,,245.0,Submitted,8.01,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,417",179783
253,254,219.0,54,174,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Telecom Company,Sugon,China,2019,Industry,47600,,1955.0,3960.32,"3,744,000",,,650.0,Submitted,3.01,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600.0,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,591",179784
254,255,220.0,54,175,,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",State Grid Corp,Sugon,China,2019,Industry,53280,,1952.0,3921.41,"3,494,000",,,570.0,Submitted,3.42,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179786
255,256,221.0,54,176,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",IT Service Provider,Sugon,China,2019,Industry,58112,,1934.0,3905.13,"3,870,000",,,630.0,Submitted,3.07,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,741",179736
256,257,222.0,46,35,,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Japan Atomic Energy Agency (JAEA),HPE,Japan,2015,Research,60240,,1929.37,2409.6,"3,852,288",,,3012.0,Submitted,0.64,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500.0,SUSE Linux Enterprise Server 11,Linux,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Asia,"50,306",178671
258,259,224.0,52,102,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,54000,,1928.0,3974.4,"4,093,000",,,520.0,Submitted,3.71,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300.0,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,591",179535
262,263,228.0,52,103,,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet",Energy Company,Huawei,China,2018,Industry,49680,,1914.38,4292.35,"4,569,600",,,732.78,Submitted,2.61,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,2700.0,Linux,Linux,None,18,Xeon Gold,Huawei 2288H V5,Huawei Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,417",179595
264,265,230.0,54,184,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,46200,,1901.0,3843.84,"3,689,000",,,630.0,Submitted,3.02,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600.0,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,787",179734
265,266,231.0,44,57,Piz Daint Multicore,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Swiss National Supercomputing Centre (CSCS),Cray/HPE,Switzerland,2016,Research,65268,,1896.75,2193.01,"3,711,744",,,732.4,Submitted,2.59,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100.0,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"50,422",178451
266,267,232.0,54,186,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,56800,,1896.0,3816.96,"4,686,000",,,625.0,Submitted,3.03,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,761",179737
270,271,236.0,47,45,Tera-1000-1,"bullx DLC 720, Xeon E5-2698v3 16C 2.3GHz, Infiniband FDR",Commissariat a l'Energie Atomique (CEA),Atos,France,2016,Research,70272,,1871.0,2586.01,"4,263,552",,35.19,1042.0,Submitted,1.8,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300.0,Bullx Linux,Linux,None,16,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"47,593",178790
277,278,241.0,53,141,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,55040,,1838.0,3698.69,"4,613,000",,,600.0,Submitted,3.06,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179670
279,280,243.0,54,197,,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,48000,,1833.0,3686.4,"3,146,000",,,470.0,Submitted,3.9,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,787",179733
280,281,244.0,52,204,Astra,"Apollo 70, Marvell ThunderX2 ARM CN9975-2000  28C 2GHz, 4xEDR Infiniband",Sandia National Laboratories,HPE,United States,2018,Research,143640,,1833.0,2298.24,"5,220,096",,90.90,1192.54,Submitted,1.54,,Cluster,Marvell ThunderX2 CN9975-2000  28C 2GHz,ThunderX2,2000.0,Tri-Lab Operating System ,Linux,None,28,Marvell ThunderX2,Apollo 70,HP Apollo,Infiniband,4xEDR Infiniband,North America,"48,748",179565
281,282,245.0,54,199,,"Sugon TC6000, Xeon Gold 5117 14C 2GHz, 25G Ethernet",Internet Service (B),Sugon,China,2019,Industry,116200,,1832.0,7436.8,"5,758,000",,,1300.0,Submitted,1.41,,Cluster,Xeon Gold 5117 14C 2GHz,Intel Skylake,2000.0,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,330",179738
283,284,247.0,50,85,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR",Science and Technology Facilities Council,Atos,United Kingdom,2017,Research,80640,,1829.86,4329.73,"4,162,560",,,529.0,Submitted,3.46,,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300.0,bullx SCS,Linux,None,64,Intel Xeon Phi,BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,"50,732",179163
285,286,249.0,52,108,JGV100System,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,41760,"38,400",1825.0,3353.18,"908,000",,,240.0,Submitted,7.6,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400.0,CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179555
286,287,250.0,54,204,,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",IT Service Provider,Sugon,China,2019,Industry,44100,,1824.0,3669.12,"3,604,000",,,600.0,Submitted,3.04,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600.0,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,709",179735
289,290,253.0,54,207,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Government Agency (S),Sugon,China,2019,Government,54240,,1815.0,3644.93,"4,626,000",,,600.0,Submitted,3.03,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,824",179787
290,291,254.0,54,208,szaisystem,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Infiniband EDR",Suzhou SC center,Sugon,China,2019,Industry,30600,"27,200",1814.0,2674.1,"824,000",,,180.0,Submitted,10.08,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500.0,CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"50,812",179713
293,294,257.0,52,109,JCSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,110080,,1807.0,3698.69,"6,432,000",,,1100.0,Submitted,1.64,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100.0,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,598",179543
295,296,259.0,44,33,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,Cray/HPE,Sweden,2017,Academic,67456,,1802.51,2438.14,"3,932,160",,,842.0,Submitted,2.14,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300.0,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"48,188",178448
296,297,260.0,52,112,ESSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",State Grid Corp,Sugon,China,2018,Industry,105000,,1790.0,3696.0,"7,657,000",,,1100.0,Submitted,1.63,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179546
297,298,261.0,50,71,Molecular Simulator,"NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path",Institute for Molecular Science,NEC,Japan,2017,Research,38552,,1785.62,3072.77,"2,649,984",,,544.48,Submitted,3.28,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,CentOS,Linux,None,20,Xeon Gold,NEC LX Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Asia,"48,473",179173
300,301,264.0,53,155,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,99360,,1765.0,7312.9,"5,843,000",,,1320.0,Submitted,1.34,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179676
305,306,269.0,52,116,CSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Telecom Operator (C),Sugon,China,2018,Others,97920,,1736.0,7206.91,"6,750,000",,,1000.0,Submitted,1.74,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,783",179538
311,312,276.0,54,229,,"Huawei X6000, Xeon Gold 6242 16C 2.8GHz, Infiniband EDR",Manufacturing Company B,Huawei,Germany,2019,Industry,38400,,1724.45,3440.64,"4,224,000",,,654.6,Submitted,2.63,,Cluster,Xeon Gold 6242 16C 2.8GHz,Intel Cascade lake,2800.0,Linux,Linux,None,16,Xeon Gold 62xx (Cascade Lake),Huawei X6000,Huawei Cluster,Infiniband,Infiniband EDR,Europe,"50,690",179727
314,315,280.0,53,166,Puhti,"Bull Sequana X1000, Xeon Gold 6230 20C 2.1GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2019,Academic,40000,,1706.73,2688.0,"4,462,464",,,585.0,Submitted,2.92,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100.0,bullx SCS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),BullSequana X1000,BullSequana,Infiniband,Mellanox InfiniBand HDR100,Europe,"47,508",179601
316,317,282.0,45,33,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Government,HPE,United States,2015,Government,57600,,1703.28,2304.0,"3,450,432",,,2880.0,Submitted,0.59,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500.0,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,"50,046",178533
321,322,286.0,52,129,ISystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",IIT Company,Sugon,China,2018,Industry,97920,,1683.0,3446.78,"6,750,000",,,1050.0,Submitted,1.6,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,786",179541
322,323,287.0,54,240,Internet Service D,"Huawei 1288H V5, Xeon Platinum 8160  24C 2.1GHz, Infiniband EDR",Internet Service J,Huawei,China,2019,Others,48960,,1671.37,3290.11,"3,840,000",,,524.28,Submitted,3.19,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100.0,Linux,Linux,None,24,Xeon Platinum,Huawei 1288H V5,Huawei Cluster,Infiniband,Infiniband EDR,Asia,"50,776",179726
323,324,288.0,45,49,Prometheus,"HP Apollo 8000, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",Cyfronet,HPE,Poland,2015,Academic,55728,"2,160",1670.09,2348.64,"5,439,592",,39.94,807.6,Submitted,2.07,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500.0,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),Apollo 8000,HP Apollo,Infiniband,Infiniband FDR,Europe,"47,634",178534
326,327,291.0,54,244,,"Sugon TC6000, AMD Epyc 7501 32C 2GHz, AMD Vega 20, Infiniband HDR",Pukou Advanced Computing Center,Sugon,China,2019,Industry,100800,"89,600",1661.0,2472.96,"582,000",,,260.0,Submitted,6.39,,Cluster,AMD Epyc 7501 32C 2GHz,AMD Zen (Naples),2000.0,CentOS,Linux,AMD Vega 20,32,AMD Naples,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband HDR,Asia,"50,818",179801
327,328,293.0,35,112,Endeavor,"Intel Cluster, Intel Xeon 6245/8280/6230/8268/8260L/8276/9242, Intel Omni-Path",Intel,Intel,United States,2011,Industry,31524,,1653.92,2467.7,"3,745,920","3,179,904",23.62,558.6,Submitted,2.96,,Cluster,Xeon Gold 6230 20C 2.1GHz,Intel Cascade lake,2100.0,Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,"49,821",176908
329,330,393.0,55,393,MN-3,"MN-Core Server, Xeon Platinum 8260M 24C 2.4GHz, Preferred Networks MN-Core, MN-Core DirectConnect",Preferred Networks,Preferred Networks,Japan,2020,Industry,1664,128,1652.9,3137.87,"720,896","456,704",,65.39,Submitted,25.28,,Cluster,Xeon Platinum 8260M 24C 2.4GHz,Intel Cascade lake,2400.0,Ubuntu Linux,Linux,Preferred Networks MN-Core,24,Xeon Platinum 82xx (Cascade Lake),MN-Core Server,Preferred Networks Cluster,Custom Interconnect,MN-Core DirectConnect,Asia,"50,832",179806
422,423,386.0,42,20,ARCHER,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",EPSRC/University of Edinburgh,Cray/HPE,United Kingdom,2014,Research,118080,,1642.54,2550.53,,,80.79,3306.24,Submitted,0.5,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700.0,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"50,487",178188
424,425,388.0,46,42,Surge,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray/HPE,United States,2015,Research,48960,,1635.02,2036.74,"3,950,400",,,956.25,Submitted,1.71,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600.0,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,437",178613
425,426,389.0,46,43,Luna,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",NOAA,Cray/HPE,United States,2015,Research,48960,,1635.02,2036.74,"3,950,400",,,956.25,Submitted,1.71,,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600.0,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"48,437",178614
426,427,390.0,52,190,Cedar-2,"PowerEdge C6320/C6420, Xeon E5-2683 v4  16C 2.1GHz/Xeon Platinum 8160, Intel Omni-Path",Simon Fraser University/Compute Canada,Dell EMC,Canada,2018,Academic,55296,,1632.96,3715.89,"4,030,464",,,601.0,Submitted,2.72,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100.0,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),PowerEdge C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179600
428,429,,56,429,Bell,"PowerEdge C6525, AMD EPYC 7662 64C 2GHz, Mellanox InfiniBand HDR100",Purdue University,Dell EMC,United States,2020,Academic,59520,,1623.7,1904.64,"3,532,704","1,999,872",,314.6,Submitted,5.16,,Cluster,AMD EPYC 7662 64C 2GHz,AMD Zen-2 (Rome),2000.0,CentOS,Linux,None,64,AMD Rome,PowerEdge C6525,Dell PowerEdge Cluster,Infiniband,Mellanox InfiniBand HDR100,North America,"48,657",179879
